"id","area","feature","user_story","expected_behavior","source_refs","test_method","status","defect_type","defects","evidence","notes"
"APP-001","App Shell","Initial snapshot load","As a manager, I want Sandlot to load the latest Fantrax snapshot when the app opens so I can start from current league data.","On mount, the app requests /api/snapshot/latest, normalizes the payload, stores it as the active model, and shows the returned sync state when roster data exists.","web/sandlot/v2-pages.jsx:V2App; sandlot_api.py:/api/snapshot/latest","Playwright smoke with mocked and live snapshot responses; API contract test","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"APP-002","App Shell","Missing or failed snapshot state","As a manager, I want a clear no-data or failed-sync state so I know the app cannot yet read Fantrax.","If /api/snapshot/latest fails or returns an empty roster, the app sets sync state to failed, preserves any fallback snapshot, and surfaces the error or no-data copy.","web/sandlot/v2-pages.jsx:V2App; web/sandlot/v2-pages.jsx:V2Today","Playwright route mock for 404, 503, and empty-roster snapshot","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"APP-003","App Shell","Manual snapshot refresh","As a manager, I want to refresh Fantrax data manually so I can pull a newer roster and matchup state.","Refresh buttons POST /api/refresh, send an optional refresh token from localStorage, replace the model with the refreshed snapshot, and show fallback details when refresh fails with a stored snapshot.","web/sandlot/v2-pages.jsx:v2FetchRefresh; web/sandlot/v2-pages.jsx:V2TopBar; sandlot_api.py:/api/refresh","API contract test plus Playwright click through Today and non-Today refresh controls","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"APP-004","App Shell","Bottom navigation","As a manager, I want fast access to the main app areas from the bottom navigation so I can move between workflows on mobile.","The bottom bar exposes Today, Roster, Skipper, Adds, and League tabs; clicking a tab switches page state and clears league team drill-in when leaving League.","web/sandlot/v2-pages.jsx:V2TabBar; web/sandlot/v2-pages.jsx:V2App","Playwright keyboard and pointer navigation smoke","passed","","","tests/playwright/specs/smoke.spec.ts passed locally on 2026-06-21.","Skipper is intentionally centered in the five-tab bottom nav."
"APP-005","App Shell","Demo auth screen","As a manager, I want the auth screen to collect my email and move into the app during demo mode so the shell can be exercised without real auth wiring.","When initial auth requires sign-in, the auth screen accepts an email, shows a sent state, and allows entry through the sign-in callback.","web/sandlot/v2-pages.jsx:V2Auth; web/sandlot/v2-pages.jsx:V2App","Component/browser test with initial auth flag","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"TOD-001","Today","Attention Queue summary","As a manager, I want the Today page to summarize urgent roster issues so I can decide what needs action first.","Today computes roster health and matchup recommendation items, counts urgent/check/review items, and displays an ordered Attention Queue from the latest model.","web/sandlot/v2-pages.jsx:V2Today; web/sandlot/v2-pages.jsx:V2AttentionQueue","Playwright Today test with representative snapshot; unit coverage for attention ordering","specified","","","","Existing related tests: tests/playwright/specs/today-attention.spec.ts and tests/test_sandlot_attention.py."
"TOD-002","Today","Attention row action","As a manager, I want clicking an attention item to open the right player or workflow so I can act immediately.","A row with a player id opens the player sheet; a row with navigation metadata sends the app to that nav target.","web/sandlot/v2-pages.jsx:V2AttentionQueueRow; web/sandlot/v2-pages.jsx:V2App","Playwright click test for player and nav attention rows","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"TOD-003","Today","Attention empty state","As a manager, I want a clear empty state when there are no issues or no data so I understand whether the roster is clean or unavailable.","The queue renders Clear copy when real data has no items, failed-copy when sync failed, and first-snapshot copy before real data exists.","web/sandlot/v2-pages.jsx:V2AttentionEmptyState; web/sandlot/v2-pages.jsx:V2AttentionQueue","Playwright route mocks for clean snapshot, failed sync, and no-data states","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"TOD-004","Today","Matchup score card","As a manager, I want to see current matchup score, opponent, margin, and time left so I know if I am leading or chasing.","When matchup data exists, Today displays my score, opponent score, leading/trailing/tied state, margin, opponent name, and days left.","web/sandlot/v2-pages.jsx:V2Today; web/sandlot/v2-pages.jsx:v2MatchupInfo","Playwright Today snapshot fixture plus visual assertion","specified","","","","Existing related test: tests/playwright/specs/today.spec.ts."
"TOD-005","Today","Matchup projection","As a manager, I want projected final score and win probability when projection data is complete so I can judge risk beyond current score.","If projection info is complete, Today displays projected score and a win probability ring; if projection data is incomplete, it shows a paused reason instead.","web/sandlot/v2-pages.jsx:V2Today; web/sandlot/v2-pages.jsx:V2WinProbabilityRing; web/sandlot/v2-pages.jsx:V2MatchupProjectionCard","Playwright projection fixture; unit tests for projection/data-quality logic","specified","","","","Existing related tests: tests/playwright/specs/today-projection.spec.ts and tests/test_sandlot_matchup.py."
"TOD-006","Today","Matchup recommendation fallback","As a manager, I want matchup advice to be withheld clearly when data quality is incomplete so I do not trust bad recommendations.","If API data says recommendations_ready is false and no matchup recommendations exist, Today shows an Advice paused caution with the quality reason.","web/sandlot/v2-pages.jsx:V2Today; sandlot_api.py:_snapshot_payload","Playwright fixture with recommendations_ready false; data-quality unit test","specified","","","","Existing related test: tests/test_sandlot_recommendations.py."
"TOD-007","Today","Primary CTAs","As a manager, I want Today to route me directly to waiver review or Skipper so the highest-frequency actions are one tap away.","Review waiver board switches to Adds; Ask Skipper switches to Skipper.","web/sandlot/v2-pages.jsx:V2Today; web/sandlot/v2-pages.jsx:V2App","Playwright click test from Today to Adds and Skipper","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"ROS-001","Roster","Roster segment filters","As a manager, I want to filter my roster by starting, bench, or all players so I can inspect the right group quickly.","The Roster tab filters by slot against inactive/bench constants, shows empty copy when a segment has no players, and keeps all mode unfiltered.","web/sandlot/v2-pages.jsx:V2Roster; web/sandlot/v2-pages.jsx:V2Segment","Playwright roster segment test","specified","","","","Existing related test: tests/playwright/specs/roster.spec.ts."
"ROS-002","Roster","Roster player rows","As a manager, I want each roster row to show slot, player, team, opponent, status, and production so I can scan roster health.","Rows render slot state color, avatar, position/team/opponent details, injury or hot labels, FP/G/projection, and versus expectation when available.","web/sandlot/v2-pages.jsx:V2RosterSlot; web/sandlot/v2-pages.jsx:v2PlayerState","Playwright snapshot visual assertions; unit test for player normalization if added","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"ROS-003","Roster","Open player from roster","As a manager, I want tapping a roster player to open the player sheet so I can inspect detail without leaving the app.","Roster rows call onPlayer with the player's id and V2App renders V2PlayerSheet for the selected detail id.","web/sandlot/v2-pages.jsx:V2Roster; web/sandlot/v2-pages.jsx:V2RosterSlot; web/sandlot/v2-pages.jsx:V2PlayerSheet","Playwright roster-to-player-sheet test","specified","","","","Existing related test: tests/playwright/specs/player-sheet.spec.ts."
"ROS-004","Roster","Roster mini insights","As a manager, I want quick top-player and watch-list signals so I can spot roster context without opening every row.","Roster computes the highest FP/G or projection player and a watch player based on injury or bench state, then displays both in mini insight cards.","web/sandlot/v2-pages.jsx:V2Roster; web/sandlot/v2-pages.jsx:V2MiniInsight","Playwright text assertions using controlled snapshot","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"LEA-001","League","Standings sorting","As a manager, I want to sort league standings by rank, points, or name so I can compare teams different ways.","League renders a segment control for rank/points/name and sorts the leagueTeams model accordingly.","web/sandlot/v2-pages.jsx:V2League; web/sandlot/v2-pages.jsx:V2TeamRow","Playwright sort test on controlled standings fixture","specified","","","","Existing related test: tests/playwright/specs/league.spec.ts."
